TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
0.300003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106577,0.254968,1.7321,1.74927,2.74759e-06,-3.14889e-05,-3.09479e-06,1.57037e-05,-7.96442e-06,3.7685e-06,9.34271e-06,6.36111e-06,-2.72075e-05,3.21134e-06,1.38638e-05,-4.15159e-06,1.26831e-05,-5.48978e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.325003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.7321,1.74927,1.75362e-06,-1.48093e-05,-1.07564e-05,-3.39575e-06,-1.79122e-06,1.45433e-05,2.83868e-05,9.67042e-06,-1.73649e-05,-3.09336e-06,-7.66201e-06,2.68227e-06,-1.17384e-06,-2.26781e-05,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.350003,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.7321,1.74927,1.75362e-06,-1.48093e-05,-1.07564e-05,-3.39575e-06,-1.79122e-06,1.45433e-05,2.83868e-05,9.67042e-06,-1.73649e-05,-3.09336e-06,-7.66201e-06,2.68227e-06,-1.17384e-06,-2.26781e-05,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.375003,0.896686,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.73211,1.74927,3.74721e-08,4.82851e-06,1.55209e-05,-2.80453e-05,1.96528e-06,1.22514e-05,1.81538e-05,-5.69344e-06,-5.81408e-06,3.85349e-05,-8.37318e-06,3.58224e-05,2.65374e-05,1.25402e-05,0.162512,0.13459,-0.381408,0.426966,0.133947,0.0980468,
0.400003,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174873,1.36327,-0.0167261,0.106575,0.254966,1.7321,1.74927,2.39162e-08,1.24296e-05,-4.86537e-06,-2.74949e-06,2.13859e-06,4.89295e-05,3.25995e-05,-2.78712e-05,4.76664e-06,1.5287e-05,-6.62251e-06,-3.34224e-05,-1.50651e-05,2.18949e-05,0.162512,0.134589,-0.381408,0.426968,0.133947,0.0980474,
0.425003,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174873,1.36327,-0.0167261,0.106575,0.254966,1.7321,1.74927,2.39162e-08,1.24296e-05,-4.86537e-06,-2.74949e-06,2.13859e-06,4.89295e-05,3.25995e-05,-2.78712e-05,4.76664e-06,1.5287e-05,-6.62251e-06,-3.34224e-05,-1.50651e-05,2.18949e-05,0.162512,0.134589,-0.381408,0.426968,0.133947,0.0980474,
0.450003,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.016729,0.106575,0.254968,1.73211,1.74927,1.52643e-08,1.08732e-05,-8.92459e-07,2.10252e-06,-4.87198e-06,1.29217e-05,1.70644e-05,-1.17198e-05,-9.18541e-06,-4.81744e-06,1.6542e-06,-7.61258e-06,6.27639e-06,-5.51156e-07,0.162511,0.13459,-0.381408,0.426967,0.133947,0.0980472,
0.475003,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.016729,0.106575,0.254968,1.73211,1.74927,1.52643e-08,1.08732e-05,-8.92459e-07,2.10252e-06,-4.87198e-06,1.29217e-05,1.70644e-05,-1.17198e-05,-9.18541e-06,-4.81744e-06,1.6542e-06,-7.61258e-06,6.27639e-06,-5.51156e-07,0.162511,0.13459,-0.381408,0.426967,0.133947,0.0980472,
0.500004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254966,1.7321,1.74927,-7.80126e-06,-2.04881e-06,-5.69602e-07,7.88474e-06,-1.37591e-05,-1.7341e-05,1.30498e-05,-2.05053e-06,1.65299e-05,2.61873e-05,-7.36504e-07,-3.45038e-05,-3.09151e-05,4.71663e-06,0.162511,0.134591,-0.381408,0.426966,0.133947,0.0980471,
0.525004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254966,1.7321,1.74927,-7.80126e-06,-2.04881e-06,-5.69602e-07,7.88474e-06,-1.37591e-05,-1.7341e-05,1.30498e-05,-2.05053e-06,1.65299e-05,2.61873e-05,-7.36504e-07,-3.45038e-05,-3.09151e-05,4.71663e-06,0.162511,0.134591,-0.381408,0.426966,0.133947,0.0980471,
