TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
0.300003,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254968,1.45755,1.74927,5.08097e-06,3.23136e-05,-7.67092e-06,-3.42111e-06,-4.00307e-06,-2.08124e-05,6.20228e-06,1.12691e-05,1.70872e-06,-1.86441e-05,-3.69792e-05,-5.50437e-05,-2.44127e-05,2.31752e-06,0.104954,0.134588,-0.345773,0.426965,0.0849889,0.0980461,
0.325003,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254968,1.45755,1.74927,5.08097e-06,3.23136e-05,-7.67092e-06,-3.42111e-06,-4.00307e-06,-2.08124e-05,6.20228e-06,1.12691e-05,1.70872e-06,-1.86441e-05,-3.69792e-05,-5.50437e-05,-2.44127e-05,2.31752e-06,0.104954,0.134588,-0.345773,0.426965,0.0849889,0.0980461,
0.350003,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167232,0.231791,0.254968,1.45755,1.74927,-1.38803e-06,6.53448e-07,-1.05713e-05,-2.18349e-06,1.24968e-06,-1.99136e-06,2.21753e-06,9.64622e-06,5.48525e-06,-1.34308e-05,2.12283e-05,-6.09544e-05,-2.08697e-05,1.46543e-06,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980454,
0.375004,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167232,0.231791,0.254968,1.45755,1.74927,-1.38803e-06,6.53448e-07,-1.05713e-05,-2.18349e-06,1.24968e-06,-1.99136e-06,2.21753e-06,9.64622e-06,5.48525e-06,-1.34308e-05,2.12283e-05,-6.09544e-05,-2.08697e-05,1.46543e-06,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980454,
0.400004,0.921447,-0.966178,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,-8.85898e-07,-3.14466e-05,-5.4424e-05,-1.39359e-06,2.84339e-05,3.50423e-06,-8.73579e-06,4.76889e-06,-1.73849e-05,-1.25055e-05,2.06925e-06,-2.16836e-05,-4.17946e-05,-1.31542e-05,0.104954,0.134588,-0.345772,0.426963,0.0849885,0.0980448,
0.425004,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167213,0.231788,0.254968,1.45755,1.74927,-5.65415e-07,1.3255e-05,-5.59018e-06,-8.89442e-07,2.33153e-05,-1.07923e-06,-2.52364e-06,4.92496e-06,3.97928e-06,1.05845e-05,5.55521e-06,-3.01446e-05,-2.43673e-05,-8.39553e-06,0.104954,0.134587,-0.345773,0.426965,0.0849889,0.0980461,
0.450004,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167213,0.231788,0.254968,1.45755,1.74927,-5.65415e-07,1.3255e-05,-5.59018e-06,-8.89442e-07,2.33153e-05,-1.07923e-06,-2.52364e-06,4.92496e-06,3.97928e-06,1.05845e-05,5.55521e-06,-3.01446e-05,-2.43673e-05,-8.39553e-06,0.104954,0.134587,-0.345773,0.426965,0.0849889,0.0980461,
0.475004,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167213,0.231791,0.254971,1.45755,1.74927,-1.65197e-06,2.10453e-05,1.6601e-05,-5.67677e-07,1.69913e-06,-2.66837e-05,-5.31757e-06,-9.67734e-06,-1.78063e-05,1.51526e-05,2.61949e-05,1.77431e-05,-1.50812e-05,-5.35836e-06,0.104954,0.134588,-0.345773,0.426965,0.0849889,0.098046,
0.500004,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167213,0.231791,0.254971,1.45755,1.74927,-1.65197e-06,2.10453e-05,1.6601e-05,-5.67677e-07,1.69913e-06,-2.66837e-05,-5.31757e-06,-9.67734e-06,-1.78063e-05,1.51526e-05,2.61949e-05,1.77431e-05,-1.50812e-05,-5.35836e-06,0.104954,0.134588,-0.345773,0.426965,0.0849889,0.098046,
0.525004,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,1.00386e-05,2.15534e-05,-6.44432e-05,-3.62314e-07,1.41757e-05,-5.40364e-06,-9.03208e-06,1.65701e-05,2.25088e-05,1.12316e-05,1.64752e-05,4.77538e-05,6.60564e-06,-3.41992e-06,0.104954,0.134588,-0.345772,0.426964,0.0849885,0.0980453,
0.550004,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,1.00386e-05,2.15534e-05,-6.44432e-05,-3.62314e-07,1.41757e-05,-5.40364e-06,-9.03208e-06,1.65701e-05,2.25088e-05,1.12316e-05,1.64752e-05,4.77538e-05,6.60564e-06,-3.41992e-06,0.104954,0.134588,-0.345772,0.426964,0.0849885,0.0980453,
0.575004,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38318,-0.0167232,0.231788,0.254971,1.45755,1.74927,5.08304e-06,3.64765e-05,-5.7458e-05,-2.31243e-07,-5.28334e-06,-8.56519e-06,-1.62648e-06,6.81148e-06,3.21512e-05,1.13829e-05,1.10378e-05,2.50461e-05,1.72377e-05,3.10194e-05,0.104953,0.134587,-0.345772,0.426965,0.0849885,0.0980461,
0.600004,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231791,0.254971,1.45755,1.74927,7.38231e-06,4.02611e-05,-2.99098e-05,-1.47588e-07,-7.89053e-06,-4.33704e-06,-8.76747e-06,1.13959e-05,1.90622e-05,4.26973e-06,1.26547e-05,2.89119e-05,3.06275e-05,1.20786e-06,0.104953,0.134587,-0.345772,0.426965,0.0849887,0.0980461,
