TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
0.300003,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89687,-0.016729,0.0303534,0.254966,1.59394,1.74927,8.64661e-06,-1.83984e-07,1.07757e-05,3.83111e-05,1.6451e-05,4.96787e-05,-1.07895e-05,1.27777e-05,4.32548e-05,-3.22442e-05,1.87368e-05,9.19358e-06,-2.31534e-05,-4.4421e-06,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980517,
0.325003,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89687,-0.016729,0.0303534,0.254966,1.59394,1.74927,8.64661e-06,-1.83984e-07,1.07757e-05,3.83111e-05,1.6451e-05,4.96787e-05,-1.07895e-05,1.27777e-05,4.32548e-05,-3.22442e-05,1.87368e-05,9.19358e-06,-2.31534e-05,-4.4421e-06,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980517,
0.350003,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89688,-0.0167261,0.0303515,0.254968,1.59394,1.74927,2.99026e-06,-1.17426e-07,1.25313e-05,1.95486e-05,1.74525e-05,1.29471e-05,-2.83802e-06,2.00093e-05,1.88839e-05,1.1535e-06,-1.22567e-06,2.4654e-05,-1.59914e-05,9.82655e-06,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980513,
0.375003,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89688,-0.0167261,0.0303515,0.254968,1.59394,1.74927,2.99026e-06,-1.17426e-07,1.25313e-05,1.95486e-05,1.74525e-05,1.29471e-05,-2.83802e-06,2.00093e-05,1.88839e-05,1.1535e-06,-1.22567e-06,2.4654e-05,-1.59914e-05,9.82655e-06,0.141492,0.134554,-0.393046,0.42697,0.127843,0.0980513,
0.400003,0.905278,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174873,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,-1.50415e-05,-7.1948e-08,-2.47028e-05,1.97558e-05,1.8863e-05,1.23871e-05,-1.61419e-06,-9.09763e-06,1.10838e-05,-1.67325e-05,-5.51004e-06,9.27855e-08,-4.26828e-06,4.49698e-05,0.141491,0.134555,-0.393046,0.426971,0.127843,0.0980518,
0.425004,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174869,-4.89688,-0.0167261,0.0303534,0.254966,1.59394,1.74927,1.6109e-05,-4.78334e-08,9.54071e-07,-4.18793e-07,-1.77783e-05,-6.02063e-06,5.47962e-06,2.16524e-05,-2.43808e-06,1.19303e-05,1.31506e-05,-5.86688e-07,2.28698e-05,-1.12189e-05,0.14149,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.450004,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174869,-4.89688,-0.0167261,0.0303534,0.254966,1.59394,1.74927,1.6109e-05,-4.78334e-08,9.54071e-07,-4.18793e-07,-1.77783e-05,-6.02063e-06,5.47962e-06,2.16524e-05,-2.43808e-06,1.19303e-05,1.31506e-05,-5.86688e-07,2.28698e-05,-1.12189e-05,0.14149,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.475004,0.905278,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,-6.95289e-06,-3.05291e-08,3.71124e-05,-6.31082e-06,-2.52767e-05,-1.11331e-05,-1.00498e-05,4.24076e-07,-1.04635e-05,-1.59238e-05,-1.6362e-05,2.10692e-06,1.79842e-05,-1.29357e-05,0.141491,0.134554,-0.393047,0.42697,0.127844,0.0980514,
0.500004,0.905278,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174871,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,-6.95289e-06,-3.05291e-08,3.71124e-05,-6.31082e-06,-2.52767e-05,-1.11331e-05,-1.00498e-05,4.24076e-07,-1.04635e-05,-1.59238e-05,-1.6362e-05,2.10692e-06,1.79842e-05,-1.29357e-05,0.141491,0.134554,-0.393047,0.42697,0.127844,0.0980514,
0.525004,0.90528,-0.966159,-1.17375,-1.2956,-2.20144,2.17731,0.0910448,-0.174873,-4.89687,-0.0167261,0.0303515,0.254968,1.59394,1.74927,5.90109e-06,-1.94849e-08,1.45018e-06,-2.27413e-05,-3.03222e-06,-7.61127e-06,-1.38525e-05,-7.2956e-06,1.19057e-05,5.49916e-06,-2.23758e-06,6.77471e-06,2.29186e-05,-1.2472e-05,0.141491,0.134554,-0.393046,0.42697,0.127843,0.0980511,
